problem,is_linear,method,num_steps,nfe,n_blocks,frequency,h_max,rms_error,max_cond,mean_amplification,rho,dtype,asymptotic
single_gaussian_d1,True,euler,8,8,,,45.0078109952535,0.1593757142687616,,,7.0,float64,False
single_gaussian_d1,True,heun,8,15,,,45.0078109952535,0.1877749944714926,,,7.0,float64,False
single_gaussian_d1,True,rx_L2,8,8,1.0,8.0,45.0078109952535,0.0519640277982498,6.6902762559957365,2.345138127997868,7.0,float64,False
single_gaussian_d1,True,rx_L3,8,8,1.0,8.0,45.0078109952535,1.3373335347153417,202.0822859390687,18.115371533921124,7.0,float64,False
single_gaussian_d1,True,rx_L4,8,8,1.0,8.0,45.0078109952535,10.751972372226788,5884.371313474919,204.04241755381713,7.0,float64,False
single_gaussian_d1,True,rx_naive,8,8,,,45.0078109952535,0.1164369802704433,5.333333333333333,1.6666666666666663,7.0,float64,False
single_gaussian_d1,True,euler,16,16,,,24.949213029686,0.0822382393101263,,,7.0,float64,False
single_gaussian_d1,True,heun,16,31,,,24.949213029686,0.0343941900031343,,,7.0,float64,False
single_gaussian_d1,True,rx_L2,16,16,2.0,8.0,24.949213029686,0.0524277295993133,5.937756336618564,1.7395472007059796,7.0,float64,False
single_gaussian_d1,True,rx_L3,16,16,2.0,8.0,24.949213029686,0.4631771308832469,123.77926302735364,7.708617362111932,7.0,float64,False
single_gaussian_d1,True,rx_L4,16,16,2.0,8.0,24.949213029686,3.807472069933042,1862.4654650735552,32.559683123426495,7.0,float64,False
single_gaussian_d1,True,rx_naive,16,16,,,24.949213029686,0.0586648767690166,5.333333333333333,1.6666666666666663,7.0,float64,False
single_gaussian_d1,True,euler,24,24,,,17.163319555450656,0.0553936241099478,,,7.0,float64,False
single_gaussian_d1,True,heun,24,47,,,17.163319555450656,0.0139208369752581,,,7.0,float64,False
single_gaussian_d1,True,rx_L2,24,24,3.0,8.0,17.163319555450656,0.0011693865187769,5.510167472958836,1.5307371208867029,7.0,float64,False
single_gaussian_d1,True,rx_L3,24,24,3.0,8.0,17.163319555450656,0.0678272424795563,97.37252695477486,5.507387747210465,7.0,float64,False
single_gaussian_d1,True,rx_L4,24,24,3.0,8.0,17.163319555450656,0.2398738008782867,1118.6271009199493,15.81790818800703,7.0,float64,False
single_gaussian_d1,True,rx_naive,24,24,,,17.163319555450656,0.0381752463190367,5.333333333333333,1.6666666666666667,7.0,float64,False
single_gaussian_d1,True,euler,32,32,,,13.069126223736887,0.0417507484246776,,,7.0,float64,False
single_gaussian_d1,True,heun,32,63,,,13.069126223736887,0.0074764893868154,,,7.0,float64,False
single_gaussian_d1,True,rx_L2,32,32,4.0,8.0,13.069126223736887,0.0106266385467897,5.236507605883888,1.435060129470621,7.0,float64,False
single_gaussian_d1,True,rx_L3,32,32,4.0,8.0,13.069126223736887,0.0444567525699594,86.00564820319534,4.70585275412465,7.0,float64,False
single_gaussian_d1,True,rx_L4,32,32,4.0,8.0,13.069126223736887,0.0137303230490669,896.1921659865116,11.42305033981127,7.0,float64,False
single_gaussian_d1,True,rx_naive,32,32,,,13.069126223736887,0.0284636034214393,5.333333333333333,1.6666666666666663,7.0,float64,False
single_gaussian_d1,True,euler,48,48,,,8.842736054613084,0.0279686421080559,,,7.0,float64,True
single_gaussian_d1,True,heun,48,95,,,8.842736054613084,0.0031720796461799,,,7.0,float64,True
single_gaussian_d1,True,rx_L2,48,48,6.0,8.0,8.842736054613084,0.0018375485887361,4.916062273041202,1.3538865442307395,7.0,float64,True
single_gaussian_d1,True,rx_L3,48,48,6.0,8.0,8.842736054613084,0.0180642343559574,77.65260759379913,4.1176936299939735,7.0,float64,True
single_gaussian_d1,True,rx_L4,48,48,6.0,8.0,8.842736054613084,0.004120576391578,772.6253586400146,8.594008303767891,7.0,float64,True
single_gaussian_d1,True,rx_naive,48,48,,,8.842736054613084,0.0188955002759169,5.333333333333333,1.6666666666666667,7.0,float64,True
single_gaussian_d1,True,euler,64,64,,,6.680472370310028,0.0210270165471043,,,7.0,float64,True
single_gaussian_d1,True,heun,64,127,,,6.680472370310028,0.0017416348140689,,,7.0,float64,True
single_gaussian_d1,True,rx_L2,64,64,8.0,8.0,6.680472370310028,0.0012865400650309,4.755249073765867,1.3230381158748543,7.0,float64,True
single_gaussian_d1,True,rx_L3,64,64,8.0,8.0,6.680472370310028,0.0103402529937011,75.62255298781666,3.914623745966096,7.0,float64,True
