nfe,n_levels,precision,fid,fid_float64,pct_change
8,2,float32,8.214509412389766,8.214551211131408,-0.0005088377997399224
8,2,float16,8.293901305253819,8.214551211131408,0.9659699243810783
8,3,float32,242.7876079310865,242.77728177974475,0.004253343338412555
8,3,float16,233.8270773583269,242.77728177974475,-3.6865905886275474
8,4,float32,153.54276010192007,153.54375184887743,-0.0006459051217818561
8,4,float16,155.24802308244597,153.54375184887743,1.1099580497719834
10,2,float32,6.117763630180776,6.118947890581671,-0.019353987353246515
10,2,float16,6.114907622754824,6.118947890581671,-0.06602879938012797
10,3,float32,66.31352972203362,66.3035947122419,0.014984119390262545
10,3,float16,66.4586834271574,66.3035947122419,0.23390694816559995
10,4,float32,113.21123934154946,113.21126545147384,-2.30630090328152e-05
10,4,float16,113.35532746384408,113.21126545147384,0.12725059807055286
16,2,float32,4.864925348690142,4.863931095487202,0.020441350492451764
16,2,float16,4.863806262891639,4.863931095487202,-0.0025664959702770087
16,3,float32,65.16656115672932,65.1546815183477,0.018232977438880308
16,3,float16,63.91667302206297,65.1546815183477,-1.900106742039867
16,4,float32,80.61687205494783,80.61940107720939,-0.0031369896423978872
16,4,float16,68.01180248507563,80.61940107720939,-15.638417581469536
