key,tag,method,num_steps,frequency,n_levels,coefficients,reuse_mode,rho,work_dtype,ode_dtype,net_dtype,n_images,seed_offset,n_heun_steps,heun_fraction,nfe,fid,max_cond,mean_amplification,max_amplification,wall_seconds,gpu,series
7ade7750216f057b,validity,euler,6,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,6,38.429684692932014,,,,54.06,cuda:0,Euler
3feee3fd783be506,validity,rx,6,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,6,33.27422809643585,87.13534488061241,17.870697698160097,42.56767244030621,59.8,cuda:0,RX-Euler ($k=2$)
9c08d8bfc8d1c63f,validity,rx,6,3,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,6,22.99319758484209,24.83063336070201,7.448575594147771,11.415316680351005,62.3,cuda:0,RX-Euler ($k=3$)
502e759458642092,validity,rx,6,4,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,6,33.53745887436966,8.728718360826509,3.3643591804132544,3.3643591804132544,59.36,cuda:0,RX-Euler ($k=4$)
6aefa74933513410,validity,rx,6,2,2,naive,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,6,30.20635483170737,5.333333333333333,1.6666666666666667,1.6666666666666663,54.14,cuda:0,Naïve Richardson
3ab21d4ef32452d0,validity,euler,8,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,8,23.77502993983436,,,,64.67,cuda:0,Euler
8ce47e521188c1a1,validity,rx,8,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,8,8.214551211131408,37.307181381221135,7.732495836301521,17.653590690610567,66.09,cuda:0,RX-Euler ($k=2$)
36157c119d06bf67,validity,rx,8,3,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,8,12.693617977899798,9.561769498454025,3.211787373292894,3.7808847492270097,65.54,cuda:0,RX-Euler ($k=3$)
60a0ad4654fdb895,validity,rx,8,4,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,8,9.69505061205897,11.78898582064254,3.657215064607941,4.8944929103212695,66.08,cuda:0,RX-Euler ($k=4$)
66ae70240b29f5c9,validity,rx,8,2,2,naive,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,8,18.296218712749216,5.333333333333333,1.6666666666666663,1.6666666666666663,67.82,cuda:0,Naïve Richardson
55c4a1c4a3639a75,validity,euler,10,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,10,17.13533754320052,,,,78.09,cuda:0,Euler
124a977098010dc0,validity,rx,10,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,10,6.118947890581671,22.65230918920708,5.199886060385239,10.32615459460354,77.74,cuda:0,RX-Euler ($k=2$)
