problem,method,rho,num_steps,frequency,n_levels,rms_error
bimodal_sep4_d1,euler,1.0,32,2,2,0.8937428422459692
bimodal_sep4_d1,euler,1.25,32,2,2,0.3535350306244593
bimodal_sep4_d1,euler,1.5,32,2,2,0.1801507289553083
bimodal_sep4_d1,euler,1.75,32,2,2,0.1495198457881862
bimodal_sep4_d1,euler,2.0,32,2,2,0.1262618312916276
bimodal_sep4_d1,euler,2.25,32,2,2,0.1124811335622341
bimodal_sep4_d1,euler,2.5,32,2,2,0.1041292228547969
bimodal_sep4_d1,euler,2.75,32,2,2,0.098347178407789
bimodal_sep4_d1,euler,3.0,32,2,2,0.0943018510756793
bimodal_sep4_d1,euler,3.25,32,2,2,0.0914936828532294
bimodal_sep4_d1,euler,3.5,32,2,2,0.0893815952049202
bimodal_sep4_d1,euler,3.75,32,2,2,0.0878785285302424
bimodal_sep4_d1,euler,4.0,32,2,2,0.0867294324216129
bimodal_sep4_d1,euler,4.25,32,2,2,0.0859138232071906
bimodal_sep4_d1,euler,4.5,32,2,2,0.0852690141892739
bimodal_sep4_d1,euler,4.75,32,2,2,0.0848355249682419
bimodal_sep4_d1,euler,5.0,32,2,2,0.0845030186181493
bimodal_sep4_d1,euler,5.25,32,2,2,0.0842600525388397
bimodal_sep4_d1,euler,5.5,32,2,2,0.0841222177041265
bimodal_sep4_d1,euler,5.75,32,2,2,0.084032522277974
bimodal_sep4_d1,euler,6.0,32,2,2,0.0839731468803902
bimodal_sep4_d1,euler,6.25,32,2,2,0.0839629961213674
bimodal_sep4_d1,euler,6.5,32,2,2,0.083995228816675
bimodal_sep4_d1,euler,6.75,32,2,2,0.0840448361344147
bimodal_sep4_d1,euler,7.0,32,2,2,0.0841014381202277
bimodal_sep4_d1,euler,7.25,32,2,2,0.0841712964846921
bimodal_sep4_d1,euler,7.5,32,2,2,0.0842602869067326
bimodal_sep4_d1,euler,7.75,32,2,2,0.0843650315039927
bimodal_sep4_d1,euler,8.0,32,2,2,0.0844768475774616
bimodal_sep4_d1,euler,8.25,32,2,2,0.0845889867602201
bimodal_sep4_d1,euler,8.5,32,2,2,0.0846998120898795
bimodal_sep4_d1,euler,8.75,32,2,2,0.0848113712840975
bimodal_sep4_d1,euler,9.0,32,2,2,0.0849263298989217
bimodal_sep4_d1,euler,9.25,32,2,2,0.0850458279853696
bimodal_sep4_d1,euler,9.5,32,2,2,0.0851690238280448
bimodal_sep4_d1,euler,9.75,32,2,2,0.0852938136384814
bimodal_sep4_d1,euler,10.0,32,2,2,0.0854178880280232
bimodal_sep4_d1,euler,10.25,32,2,2,0.0855395305338499
bimodal_sep4_d1,euler,10.5,32,2,2,0.085657944273909
bimodal_sep4_d1,euler,10.75,32,2,2,0.0857731717862255
bimodal_sep4_d1,euler,11.0,32,2,2,0.0858857916697523
bimodal_sep4_d1,euler,11.25,32,2,2,0.0859965712117901
bimodal_sep4_d1,euler,11.5,32,2,2,0.086106190945252
bimodal_sep4_d1,euler,11.75,32,2,2,0.0862150866435809
bimodal_sep4_d1,euler,12.0,32,2,2,0.0863234032444493
bimodal_sep4_d1,euler,12.25,32,2,2,0.0864310293989115
bimodal_sep4_d1,euler,12.5,32,2,2,0.0865376754506235
bimodal_sep4_d1,euler,12.75,32,2,2,0.0866429633105889
bimodal_sep4_d1,euler,13.0,32,2,2,0.0867465068501824
bimodal_sep4_d1,euler,13.25,32,2,2,0.0868479716132955
bimodal_sep4_d1,euler,13.5,32,2,2,0.0869471106770456
bimodal_sep4_d1,euler,13.75,32,2,2,0.0870437787558498
bimodal_sep4_d1,euler,14.0,32,2,2,0.0871379293913214
bimodal_sep4_d1,euler,14.25,32,2,2,0.0872296009107506
bimodal_sep4_d1,euler,14.5,32,2,2,0.0873188964454209
bimodal_sep4_d1,euler,14.75,32,2,2,0.0874059622619186
bimodal_sep4_d1,euler,15.0,32,2,2,0.0874909674079153
bimodal_sep4_d1,heun,1.0,32,2,2,0.7319460112384992
bimodal_sep4_d1,heun,1.25,32,2,2,0.2439986691441787
bimodal_sep4_d1,heun,1.5,32,2,2,0.071918411503425
bimodal_sep4_d1,heun,1.75,32,2,2,0.0433416193817929
bimodal_sep4_d1,heun,2.0,32,2,2,0.0299814089813396
bimodal_sep4_d1,heun,2.25,32,2,2,0.0229610267248443
bimodal_sep4_d1,heun,2.5,32,2,2,0.0182244796605043
bimodal_sep4_d1,heun,2.75,32,2,2,0.0160865308984804
bimodal_sep4_d1,heun,3.0,32,2,2,0.0145967988788367
bimodal_sep4_d1,heun,3.25,32,2,2,0.0133714477407504
bimodal_sep4_d1,heun,3.5,32,2,2,0.0128136205742786
bimodal_sep4_d1,heun,3.75,32,2,2,0.0121879178234191
bimodal_sep4_d1,heun,4.0,32,2,2,0.0119204897335088
bimodal_sep4_d1,heun,4.25,32,2,2,0.0116187330442333
bimodal_sep4_d1,heun,4.5,32,2,2,0.0114529619867407
bimodal_sep4_d1,heun,4.75,32,2,2,0.011361731328412
bimodal_sep4_d1,heun,5.0,32,2,2,0.011245364938715
bimodal_sep4_d1,heun,5.25,32,2,2,0.0112091143253123
bimodal_sep4_d1,heun,5.5,32,2,2,0.0112084431607447
bimodal_sep4_d1,heun,5.75,32,2,2,0.011187597003001
bimodal_sep4_d1,heun,6.0,32,2,2,0.0111832976853282
bimodal_sep4_d1,heun,6.25,32,2,2,0.0112154454702946
bimodal_sep4_d1,heun,6.5,32,2,2,0.0112588288809164
bimodal_sep4_d1,heun,6.75,32,2,2,0.011291176210703
bimodal_sep4_d1,heun,7.0,32,2,2,0.0113196534529655
bimodal_sep4_d1,heun,7.25,32,2,2,0.0113594449002887
bimodal_sep4_d1,heun,7.5,32,2,2,0.0114132458199787
bimodal_sep4_d1,heun,7.75,32,2,2,0.0114734007586268
bimodal_sep4_d1,heun,8.0,32,2,2,0.0115304970474403
bimodal_sep4_d1,heun,8.25,32,2,2,0.0115809251888491
bimodal_sep4_d1,heun,8.5,32,2,2,0.0116277169726015
bimodal_sep4_d1,heun,8.75,32,2,2,0.0116757386977891
bimodal_sep4_d1,heun,9.0,32,2,2,0.0117278584812359
bimodal_sep4_d1,heun,9.25,32,2,2,0.011784258818074
bimodal_sep4_d1,heun,9.5,32,2,2,0.0118432069300367
bimodal_sep4_d1,heun,9.75,32,2,2,0.0119021365787167
bimodal_sep4_d1,heun,10.0,32,2,2,0.0119587846870123
bimodal_sep4_d1,heun,10.25,32,2,2,0.0120120053494682
bimodal_sep4_d1,heun,10.5,32,2,2,0.0120619103590121
bimodal_sep4_d1,heun,10.75,32,2,2,0.0121094387264439
bimodal_sep4_d1,heun,11.0,32,2,2,0.0121557644979216
bimodal_sep4_d1,heun,11.25,32,2,2,0.0122018703220107
bimodal_sep4_d1,heun,11.5,32,2,2,0.0122483692355923
bimodal_sep4_d1,heun,11.75,32,2,2,0.0122954980112535
bimodal_sep4_d1,heun,12.0,32,2,2,0.0123431840420906
bimodal_sep4_d1,heun,12.25,32,2,2,0.012391131747884
bimodal_sep4_d1,heun,12.5,32,2,2,0.0124389129656093
bimodal_sep4_d1,heun,12.75,32,2,2,0.0124860572204053
bimodal_sep4_d1,heun,13.0,32,2,2,0.0125321336838476
bimodal_sep4_d1,heun,13.25,32,2,2,0.0125768129369987
bimodal_sep4_d1,heun,13.5,32,2,2,0.0126198998145035
bimodal_sep4_d1,heun,13.75,32,2,2,0.0126613363715121
bimodal_sep4_d1,heun,14.0,32,2,2,0.0127011814475497
bimodal_sep4_d1,heun,14.25,32,2,2,0.0127395771566841
bimodal_sep4_d1,heun,14.5,32,2,2,0.0127767124661481
bimodal_sep4_d1,heun,14.75,32,2,2,0.0128127912221857
bimodal_sep4_d1,heun,15.0,32,2,2,0.0128480083662469
bimodal_sep4_d1,rx,1.0,32,2,2,0.7229113001176908
bimodal_sep4_d1,rx,1.25,32,2,2,0.3746120898261639
bimodal_sep4_d1,rx,1.5,32,2,2,0.1809659871254921
bimodal_sep4_d1,rx,1.75,32,2,2,0.1261838391497276
bimodal_sep4_d1,rx,2.0,32,2,2,0.0476465832709928
bimodal_sep4_d1,rx,2.25,32,2,2,0.047783201801105
bimodal_sep4_d1,rx,2.5,32,2,2,0.0299705550313886
bimodal_sep4_d1,rx,2.75,32,2,2,0.0335570603550946
bimodal_sep4_d1,rx,3.0,32,2,2,0.0262879886069161
bimodal_sep4_d1,rx,3.25,32,2,2,0.0206270526751517
bimodal_sep4_d1,rx,3.5,32,2,2,0.0258008766788997
bimodal_sep4_d1,rx,3.75,32,2,2,0.0246285255866332
bimodal_sep4_d1,rx,4.0,32,2,2,0.0189358822056987
