problem,num_steps,n_levels,frequency,precision,eps,rms_error,nfe,max_cond,mean_amplification,failed
single_gaussian_d1,16,2,2,float64,2.220446049250313e-16,0.008659957553379302,16,11.412908150626382,3.5326152411421905,
single_gaussian_d1,16,2,2,float32,1.1920928955078125e-07,0.00865994274679931,16,11.412909507751465,3.5326154828071594,
single_gaussian_d1,16,2,2,float16,0.0009765625,0.00879773175581485,16,11.40625,3.533203125,
single_gaussian_d1,32,2,2,float64,2.220446049250313e-16,0.0012429305596985591,32,8.635961013678378,3.088614119987282,
single_gaussian_d1,32,2,2,float32,1.1920928955078125e-07,0.0012429422604242487,32,8.635960578918457,3.088614046573639,
single_gaussian_d1,32,2,2,float16,0.0009765625,0.0014998925614117685,32,8.6328125,3.087646484375,
single_gaussian_d1,64,2,2,float64,2.220446049250313e-16,0.00014700829048415047,64,9.217920221527667,3.042060911344258,
single_gaussian_d1,64,2,2,float32,1.1920928955078125e-07,0.00014699947650922773,64,9.217918395996094,3.0420608818531036,
single_gaussian_d1,64,2,2,float16,0.0009765625,0.0013630738689117575,64,9.21875,3.041748046875,
single_gaussian_d1,128,2,2,float64,2.220446049250313e-16,1.4674504623742071e-05,128,13.837906735458244,3.0515192398596414,
single_gaussian_d1,128,2,2,float32,1.1920928955078125e-07,1.4700913918928749e-05,128,13.837905883789062,3.0515192449092865,
single_gaussian_d1,128,2,2,float16,0.0009765625,0.003092542597430402,128,13.8359375,3.05133056640625,
single_gaussian_d1,256,2,2,float64,2.220446049250313e-16,1.5264829371147168e-06,256,23.91945982269585,3.0636830561266946,
single_gaussian_d1,256,2,2,float32,1.1920928955078125e-07,1.610039316836982e-06,256,23.919458389282227,3.06368301063776,
single_gaussian_d1,256,2,2,float16,0.0009765625,0.003973514868224658,256,23.8125,3.06292724609375,
single_gaussian_d1,512,2,2,float64,2.220446049250313e-16,3.528486532075024e-06,512,44.44642680155195,3.0715614072494475,
single_gaussian_d1,512,2,2,float32,1.1920928955078125e-07,3.779186808116766e-06,512,44.44643020629883,3.071561424061656,
single_gaussian_d1,512,2,2,float16,0.0009765625,0.0023111713016303877,512,44.53125,3.0714263916015625,
single_gaussian_d1,1024,2,2,float64,2.220446049250313e-16,3.7772365704548223e-06,1024,85.66950002851928,3.075943690474924,
single_gaussian_d1,1024,2,2,float32,1.1920928955078125e-07,3.9041355768575005e-06,1024,85.66950225830078,3.0759436823427677,
single_gaussian_d1,1024,2,2,float16,0.0009765625,0.0033713634081445317,1024,85.3125,3.07550048828125,
single_gaussian_d1,2048,2,2,float64,2.220446049250313e-16,3.8082344044519883e-06,2048,168.197184584392,3.078244964672655,
single_gaussian_d1,2048,2,2,float32,1.1920928955078125e-07,4.356056424548094e-06,2048,168.1968536376953,3.078244796022773,
single_gaussian_d1,2048,2,2,float16,0.0009765625,0.008807265695392636,2048,163.875,3.07611083984375,
