frequency,block_index,n_blocks,n_levels,rho,sigma_hi,sigma_lo,lambda_spread,cond,amplification,growth
2,0,64,2,7.0,80.0,73.37019952280082,1.0377700711671707,8.002749314738608,3.001374657369304,1.0
2,1,64,2,7.0,73.37019952280082,67.21702527325485,1.0382515976354647,8.002818555203763,3.0014092776018817,1.0
2,2,64,2,7.0,67.21702527325485,61.51157365787813,1.038745558875845,8.002890444767294,3.001445222383647,1.0
2,3,64,2,7.0,61.51157365787813,56.22636065990345,1.0392524427911773,8.00296512031463,3.0014825601573154,1.0
2,4,64,2,7.0,56.22636065990345,51.33526889276181,1.0397727631441218,8.003042727688566,3.001521363844283,1.0
2,5,64,2,7.0,51.33526889276181,46.81349598678945,1.0403070612934524,8.003123422402025,3.0015617112010125,1.0
2,6,64,2,7.0,46.81349598678945,42.63750429215954,1.0408559080717423,8.003207370417792,3.001603685208896,1.0
2,7,64,2,7.0,42.63750429215954,38.78497188103633,1.041419905818619,8.00329474900266,3.0016473745013297,1.0
2,8,64,2,7.0,38.78497188103633,35.23474483195085,1.0419996905844726,8.003385747664094,3.001692873832047,1.0
2,9,64,2,7.0,35.23474483195085,31.966790779396188,1.042595934522236,8.003480569178805,3.0017402845894026,1.0
2,10,64,2,7.0,31.966790779396188,28.96215371164047,1.0432093484851708,8.003579430723516,3.001789715361758,1.0
2,11,64,2,7.0,28.96215371164047,26.202909999756614,1.0438406848522175,8.00368256511976,3.00184128255988,1.0
2,12,64,2,7.0,26.202909999756614,23.672125640866636,1.0444907406050226,8.003790222206158,3.001895111103079,1.0
2,13,64,2,7.0,23.672125640866636,21.35381469859936,1.0451603606821045,8.003902670353106,3.001951335176553,1.0
2,14,64,2,7.0,21.35381469859936,19.23289892375946,1.0458504416405134,8.004020198137187,3.0020100990685936,1.0
2,15,64,2,7.0,19.23289892375946,17.295168538206728,1.0465619356578784,8.004143116194737,3.0020715580973683,1.0
2,16,64,2,7.0,17.295168538206728,15.527244164943681,1.0472958549131455,8.004271759276945,3.0021358796384723,1.0
2,17,64,2,7.0,15.527244164943681,13.91653988740985,1.0480532763873356,8.0044064885318,3.0022032442658997,1.0
2,18,64,2,7.0,13.91653988740985,12.451227420981382,1.0488353471327299,8.004547694041955,3.0022738470209775,1.0
2,19,64,2,7.0,12.451227420981382,11.120201379674214,1.0496432900650454,8.004695797652037,3.0023478988260184,1.0
2,20,64,2,7.0,11.120201379674214,9.913045621049134,1.0504784103391636,8.004851256123475,3.0024256280617374,1.0
2,21,64,2,7.0,9.913045621049134,8.820000652317331,1.0513421023789293,8.005014564661158,3.002507282330579,1.0
2,22,64,2,7.0,8.820000652317331,7.831932080644711,1.0522358576403712,8.005186260862738,3.002593130431369,1.0
2,23,64,2,7.0,7.831932080644711,6.940300090653309,1.0531612731995081,8.00536692914962,3.00268346457481,1.0
2,24,64,2,7.0,6.940300090653309,6.137129932118373,1.0541200612677724,8.00555720574771,3.002778602873855,1.0
2,25,64,2,7.0,6.137129932118373,5.414983400859404,1.0551140597558684,8.005757784297701,3.0028788921488507,1.0
2,26,64,2,7.0,5.414983400859404,4.766931295823468,1.0561452440207575,8.00596942218695,3.0029847110934753,1.0
2,27,64,2,7.0,4.766931295823468,4.1865268353594685,1.0572157399560664,8.006192947711613,3.0030964738558064,1.0
2,28,64,2,7.0,4.1865268353594685,3.6677800156813887,1.0583278386065802,8.006429268195372,3.003214634097686,1.0
2,29,64,2,7.0,3.6677800156813887,3.2051328945192252,1.0594840125183211,8.006679379213793,3.0033396896068965,1.0
2,30,64,2,7.0,3.2051328945192252,2.7934357829558567,1.0606869340704923,8.006944375099904,3.003472187549952,1.0
2,31,64,2,7.0,2.7934357829558567,2.427924328448239,1.0619394960737212,8.007225460938315,3.0036127304691576,1.0
