key,tag,method,num_steps,frequency,n_levels,coefficients,reuse_mode,rho,work_dtype,ode_dtype,net_dtype,n_images,seed_offset,n_heun_steps,heun_fraction,nfe,fid,max_cond,mean_amplification,max_amplification,wall_seconds,gpu
7ade7750216f057b,validity,euler,6,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,6,38.429684692932014,,,,54.06,cuda:0
3feee3fd783be506,validity,rx,6,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,6,33.27422809643585,87.13534488061241,17.870697698160097,42.567672440306204,59.8,cuda:0
9c08d8bfc8d1c63f,validity,rx,6,3,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,6,22.99319758484209,24.83063336070201,7.448575594147771,11.415316680351005,62.3,cuda:0
502e759458642092,validity,rx,6,4,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,6,33.53745887436966,8.728718360826509,3.3643591804132544,3.3643591804132544,59.36,cuda:0
6aefa74933513410,validity,rx,6,2,2,naive,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,6,30.20635483170737,5.333333333333333,1.6666666666666667,1.6666666666666665,54.14,cuda:0
4a91aa1100ff81c6,panel,rx_edm,4,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,2,0.5,6,87.81620449858997,471.987605388765,234.9938026943825,234.9938026943825,52.17,cuda:0
fe1cbf1f3defc8fa,panel,heun,4,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,7,87.50157037711162,,,,58.2,cuda:0
3ab21d4ef32452d0,validity,euler,8,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,8,23.775029939834358,,,,64.67,cuda:0
8ce47e521188c1a1,validity,rx,8,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,8,8.214551211131408,37.307181381221135,7.732495836301521,17.653590690610567,66.09,cuda:0
36157c119d06bf67,validity,rx,8,3,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,8,12.693617977899798,9.561769498454023,3.211787373292894,3.7808847492270097,65.54,cuda:0
60a0ad4654fdb895,validity,rx,8,4,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,8,9.69505061205897,11.788985820642539,3.657215064607941,4.8944929103212695,66.08,cuda:0
66ae70240b29f5c9,validity,rx,8,2,2,naive,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,8,18.296218712749216,5.333333333333333,1.6666666666666665,1.6666666666666665,67.82,cuda:0
9f5888e8ba72ec1a,panel,rx_edm,5,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,3,0.5,8,37.95162158991063,171.77660088443028,84.88830044221514,84.88830044221514,64.65,cuda:0
1513090b3451336e,multilevel,rx,8,2,2,grid_aware,denoised,7.0,float32,float64,float32,10000,0,-1,0.5,8,8.214509412389766,37.307159423828125,7.732492923736572,17.653579711914062,64.7,cuda:0
b1620a8d91f323c7,multilevel,rx,8,2,2,grid_aware,denoised,7.0,float16,float64,float32,10000,0,-1,0.5,8,8.293901305253819,37.5625,7.7666015625,17.78125,75.41,cuda:0
83e03631816b51e2,multilevel,rx,8,4,3,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,8,242.77728177974475,4730.9995966044335,260.4034623626829,501.6042713281844,71.88,cuda:0
ca5d2e5d8e1fe0e7,multilevel,rx,8,4,3,grid_aware,denoised,7.0,float32,float64,float32,10000,0,-1,0.5,8,242.78760793108654,4731.012062072754,260.4039421081543,501.605281829834,65.49,cuda:0
4d40012c0af365c4,multilevel,rx,8,4,3,grid_aware,denoised,7.0,float16,float64,float32,10000,0,-1,0.5,8,233.8270773583269,3789.375,208.1953125,397.21875,68.46,cuda:0
cd6d56ad711d34af,multilevel,rx,8,8,4,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,8,153.54375184887743,5884.371313474919,204.04241755381713,204.04241755381713,66.95,cuda:0
e092158e98ad48bc,multilevel,rx,8,8,4,grid_aware,denoised,7.0,float32,float64,float32,10000,0,-1,0.5,8,153.54276010192007,5884.030738830566,204.0314211845398,204.0314211845398,69.26,cuda:0
6f6025ac27f6a10c,multilevel,rx,8,8,4,grid_aware,denoised,7.0,float16,float64,float32,10000,0,-1,0.5,8,155.24802308244597,6507.625,221.94921875,221.94921875,67.88,cuda:0
28ca645cb9676f52,panel,heun,5,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,9,37.94365988959325,,,,83.21,cuda:0
55c4a1c4a3639a75,validity,euler,10,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,10,17.13533754320052,,,,78.09,cuda:0
124a977098010dc0,validity,rx,10,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,10,6.118947890581671,22.652309189207077,5.199886060385239,10.326154594603539,77.74,cuda:0
443b7b583e886a11,validity,rx,10,3,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,10,9.03722005407073,10.359719686867313,3.0870077937687004,4.179859843433657,79.1,cuda:0
b2514e7f893e2564,validity,rx,10,4,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,10,10.285583131630256,7.619123394648702,2.447413276685241,2.809561697324351,87.84,cuda:0
135a8de4cb75d859,validity,rx,10,2,2,naive,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,10,13.409908059613402,5.333333333333333,1.6666666666666665,1.6666666666666665,81.33,cuda:0
f0f30a53128c35ee,panel,rx_edm,7,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,3,0.5,10,10.637220071771912,53.61314955491759,15.94943288646472,25.806574777458795,89.26,cuda:0
1ee512176ee66b1d,multilevel,rx,10,2,2,grid_aware,denoised,7.0,float32,float64,float32,10000,0,-1,0.5,10,6.117763630180776,22.652307510375977,5.199885749816895,10.326153755187988,86.73,cuda:0
523ab6d900bc117e,multilevel,rx,10,2,2,grid_aware,denoised,7.0,float16,float64,float32,10000,0,-1,0.5,10,6.114907622754824,22.75,5.2109375,10.375,78.3,cuda:0
b0147f829f841946,multilevel,rx,10,4,3,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,10,66.3035947122419,372.1375676163451,23.217786052800665,35.59891823968466,77.85,cuda:0
95150a908432fe9d,multilevel,rx,10,4,3,grid_aware,denoised,7.0,float32,float64,float32,10000,0,-1,0.5,10,66.31352972203362,372.13831329345703,23.217809677124023,35.59895706176758,85.35,cuda:0
66876bfa46224fd4,multilevel,rx,10,4,3,grid_aware,denoised,7.0,float16,float64,float32,10000,0,-1,0.5,10,66.4586834271574,378.28125,23.41796875,35.9375,77.95,cuda:0
86d8605facca2e97,multilevel,rx,10,8,4,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,10,113.21126545147384,1694.5886739331224,45.870307873473394,45.870307873473394,88.39,cuda:0
f986852c492e1641,multilevel,rx,10,8,4,grid_aware,denoised,7.0,float32,float64,float32,10000,0,-1,0.5,10,113.21123934154946,1694.5940399169922,45.8704514503479,45.8704514503479,88.47,cuda:0
99231d943e892c48,multilevel,rx,10,8,4,grid_aware,denoised,7.0,float16,float64,float32,10000,0,-1,0.5,10,113.35532746384408,1733.125,46.4375,46.4375,79.56,cuda:0
50bb75bcd86141f9,reuse,rx,10,2,2,grid_aware,exact,7.0,float64,float64,float32,10000,0,-1,0.5,10,6.118947890581671,22.652309189207077,5.199886060385239,10.326154594603539,78.0,cuda:0
2d50d9631a197986,seedblock,euler,10,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,1,-1,0.5,10,17.60828293532109,,,,83.71,cuda:0
3ce2c74c13c55515,seedblock,rx,10,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,1,-1,0.5,10,6.141306993880499,22.652309189207077,5.199886060385239,10.326154594603539,94.33,cuda:0
8b48b53e1d8e63fc,seedblock,rx_edm,7,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,1,3,0.5,10,10.741820117191747,53.61314955491759,15.94943288646472,25.806574777458795,81.93,cuda:0
acae16ba19321280,seedblock,euler,10,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,2,-1,0.5,10,17.70374857521774,,,,78.29,cuda:0
2d092b9cfffdc693,seedblock,rx,10,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,2,-1,0.5,10,6.200732299956147,22.652309189207077,5.199886060385239,10.326154594603539,77.94,cuda:0
05963e492f1cf843,seedblock,rx_edm,7,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,2,3,0.5,10,10.77376321636908,53.61314955491759,15.94943288646472,25.806574777458795,79.09,cuda:0
41e27efb4857e66a,panel,heun,6,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,11,16.605261844067307,,,,84.7,cuda:0
b1489c8ce41f417b,seedblock,heun,6,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,1,-1,0.5,11,16.420569892880614,,,,85.84,cuda:0
16cf7ce03c935561,seedblock,heun,6,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,2,-1,0.5,11,16.31952397335701,,,,84.42,cuda:0
64e987e9470be134,validity,euler,12,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,12,13.581025252253557,,,,91.52,cuda:0
17f7399551ad66a0,validity,rx,12,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,12,5.468462082169286,16.457340346644997,4.23960583093612,7.228670173322499,100.98,cuda:0
a56ea741213ba829,validity,rx,12,3,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,12,5.953861802562815,11.375427475397762,3.031674623328044,4.687713737698881,93.0,cuda:0
b26bf446cd0aa585,validity,rx,12,4,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,12,7.90127413677566,9.154238938670309,2.5817107254088265,3.5771194693351545,92.34,cuda:0
0219c8c20e07437c,validity,rx,12,2,2,naive,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,12,10.653707609226487,5.333333333333333,1.6666666666666663,1.6666666666666665,91.84,cuda:0
f791155e41f611f2,panel,rx_edm,8,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,4,0.5,12,6.5008571083330144,37.307181381221135,11.63444871092241,17.653590690610567,97.75,cuda:0
5e546da39215559d,reuse,rx,10,4,3,grid_aware,exact,7.0,float64,float64,float32,10000,0,-1,0.5,12,45.545399935237356,372.1375676163451,23.217786052800665,35.59891823968466,101.62,cuda:0
075c0cf8d490076d,panel,heun,7,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,13,8.917047566993247,,,,102.99,cuda:0
e4b90a8ea10e69aa,reuse,rx,10,8,4,grid_aware,exact,7.0,float64,float64,float32,10000,0,-1,0.5,14,97.369753149334,1694.5886739331224,45.870307873473394,45.870307873473394,103.88,cuda:0
2192092fb3ece492,validity,euler,16,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,16,9.89090821318824,,,,127.64,cuda:0
d9943f69d5c9c992,validity,rx,16,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,16,4.863931095487202,11.412908150626382,3.5326152411421905,4.706454075313191,119.78,cuda:0
5537a8740bf94dba,validity,rx,16,3,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,16,5.2088349506469775,8.180278062172272,2.420604785962232,3.090139031086136,118.11,cuda:0
4443816ce6aff324,validity,rx,16,4,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,16,5.425505208662937,7.809915911966124,2.1764176304938148,2.9049579559830616,134.9,cuda:0
829980f7f419fe56,validity,rx,16,2,2,naive,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,16,7.905359496880205,5.333333333333333,1.6666666666666665,1.6666666666666665,120.04,cuda:0
c4a8ae90e7a5d246,panel,rx_edm,11,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,5,0.5,16,5.332984645873591,18.992478461016393,5.670937990224279,8.496239230508197,127.77,cuda:0
e5b4b5d1905a2758,multilevel,rx,16,2,2,grid_aware,denoised,7.0,float32,float64,float32,10000,0,-1,0.5,16,4.864925348690142,11.412909507751465,3.5326154828071594,4.706454753875732,120.78,cuda:0
eeb21a50e04d4036,multilevel,rx,16,2,2,grid_aware,denoised,7.0,float16,float64,float32,10000,0,-1,0.5,16,4.863806262891639,11.40625,3.533203125,4.703125,117.94,cuda:0
ad15711c26150dae,multilevel,rx,16,4,3,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,16,65.1546815183477,416.4192636633137,16.37448454963965,40.09869099563797,120.68,cuda:0
9607d30d6cda9400,multilevel,rx,16,4,3,grid_aware,denoised,7.0,float32,float64,float32,10000,0,-1,0.5,16,65.16656115672932,416.4203453063965,16.374508023262024,40.098785400390625,117.69,cuda:0
002b84fce932514c,multilevel,rx,16,4,3,grid_aware,denoised,7.0,float16,float64,float32,10000,0,-1,0.5,16,63.91667302206297,411.75,16.146484375,39.21875,118.13,cuda:0
682d772a8885cf51,multilevel,rx,16,8,4,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,16,80.61940107720939,1862.4654650735552,32.55968312342647,51.59920464581512,127.59,cuda:0
a01f3a9911d19488,multilevel,rx,16,8,4,grid_aware,denoised,7.0,float32,float64,float32,10000,0,-1,0.5,16,80.61687205494783,1862.4484939575195,32.559388160705566,51.59865951538086,127.68,cuda:0
fd40af687c9460fb,multilevel,rx,16,8,4,grid_aware,denoised,7.0,float16,float64,float32,10000,0,-1,0.5,16,68.01180248507563,1670.375,29.3671875,45.5625,121.08,cuda:0
bfd39a5e64c4e510,reuse,rx,16,2,2,grid_aware,exact,7.0,float64,float64,float32,10000,0,-1,0.5,16,4.863931095487202,11.412908150626382,3.5326152411421905,4.706454075313191,122.15,cuda:0
c7377dc4e29864b9,panel,heun,9,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,17,5.213021579837728,,,,124.21,cuda:0
bbbaf20eabea382b,validity,euler,20,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,20,8.057120946383671,,,,153.74,cuda:0
cb815979de6e443e,validity,rx,20,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,20,4.57083706406468,9.48718799971645,3.2863198897543007,3.7435939998582253,154.71,cuda:0
f4dc60d1d1873505,validity,rx,20,3,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,20,4.9426816905752435,7.1625928197779904,2.226691614690507,2.5812964098889952,154.89,cuda:0
d55769c66ce65121,validity,rx,20,4,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,20,4.959558954497209,7.012530555745698,1.9832602035089302,2.506265277872849,148.71,cuda:0
c20c4191d232b91b,validity,rx,20,2,2,naive,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,20,6.604088811113826,5.333333333333333,1.6666666666666665,1.6666666666666665,147.83,cuda:0
bc12db96bdf20768,panel,rx_edm,13,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,7,0.5,20,4.860123692911939,14.628373921459815,4.781093542166828,6.314186960729907,144.69,cuda:0
32212a04083a76fb,reuse,rx,16,4,3,grid_aware,exact,7.0,float64,float64,float32,10000,0,-1,0.5,20,6.349937405946546,416.4192636633137,16.37448454963965,40.09869099563797,147.45,cuda:0
00da259acf8a0a40,panel,heun,11,2,2,grid_aware,denoised,7.0,float64,float64,float32,10000,0,-1,0.5,21,4.318155588811402,,,,155.48,cuda:0
78f1d4f5c5a9816f,reuse,rx,16,8,4,grid_aware,exact,7.0,float64,float64,float32,10000,0,-1,0.5,24,52.87267962594991,1862.4654650735552,32.55968312342647,51.59920464581512,174.1,cuda:0
