problem,method,fitted_order,r2,n_points,fit_from_N,predicted_order
bimodal_sep4_d1,euler,1.0169771744665672,0.9999965340494076,4,48,1.0
bimodal_sep4_d1,heun,2.046403165681321,0.9999850967137301,4,48,2.0
bimodal_sep4_d1,rx_L2,1.9402809123538818,0.9955537798564557,4,48,2.0
bimodal_sep4_d1,rx_L3,1.7242245624955201,0.9979100678156794,4,48,3.0
bimodal_sep4_d1,rx_L4,1.8811817730216933,0.9623388002752259,4,48,4.0
bimodal_sep4_d1,rx_naive,1.0410182200368467,0.9999861907094102,4,48,2.0
single_gaussian_d1,euler,0.9937389113355617,0.9999994502717965,4,48,1.0
single_gaussian_d1,heun,2.0717676821736584,0.999996784733149,4,48,2.0
single_gaussian_d1,rx_L2,2.595720609642549,0.9780485709926366,4,48,2.0
single_gaussian_d1,rx_L3,2.09124149674882,0.9995685523691034,4,48,3.0
single_gaussian_d1,rx_L4,0.8013812031782993,0.6179037113105728,4,48,4.0
single_gaussian_d1,rx_naive,1.0026754972026815,0.9999992541347211,4,48,2.0
