problem,n_levels,frequency,reuse_mode,fitted_local_order,predicted_local_order,r2,mean_nfe_overhead
bimodal_sep4_d1,2,2,denoised,3.2203724458575875,3,0.9988114882724402,0.0
bimodal_sep4_d1,2,2,derivative,3.2203724458575875,3,0.9988114882724402,0.0
bimodal_sep4_d1,2,2,exact,3.2203724458575875,3,0.9988114882724402,0.0
bimodal_sep4_d1,3,4,denoised,3.210925244906356,4,0.9989713604468399,0.0
bimodal_sep4_d1,3,4,derivative,3.1595326709633142,4,0.9989361283922014,0.0
bimodal_sep4_d1,3,4,exact,4.283536320243047,4,0.9988036820065739,1.0
bimodal_sep4_d1,4,8,denoised,3.2212216057385903,5,0.9988179114321484,0.0
bimodal_sep4_d1,4,8,derivative,3.172168422908403,5,0.9988279460840893,0.0
bimodal_sep4_d1,4,8,exact,5.359997005657223,5,0.9986580386767312,4.0
bimodal_sep4_d1,5,16,denoised,3.222651902013594,6,0.9988164608610055,0.0
bimodal_sep4_d1,5,16,derivative,3.168363667096218,6,0.9989042359413107,0.0
bimodal_sep4_d1,5,16,exact,5.90177262375499,6,0.9814527613551197,11.0
single_gaussian_d1,2,2,denoised,4.356992247647795,3,0.9981124722825606,0.0
single_gaussian_d1,2,2,derivative,4.356992247647795,3,0.9981124722825606,0.0
single_gaussian_d1,2,2,exact,4.356992247647795,3,0.9981124722825606,0.0
single_gaussian_d1,3,4,denoised,3.339863822058881,4,0.997011665912036,0.0
single_gaussian_d1,3,4,derivative,3.1446669114116848,4,0.9993979610882885,0.0
single_gaussian_d1,3,4,exact,4.364867863272315,4,0.9979782931623297,1.0
single_gaussian_d1,4,8,denoised,3.3116956738880092,5,0.9974176928289464,0.0
single_gaussian_d1,4,8,derivative,3.16825954960988,5,0.9992418545336947,0.0
single_gaussian_d1,4,8,exact,5.699260067144114,5,0.954391284948804,4.0
single_gaussian_d1,5,16,denoised,3.311501236236514,6,0.997420039503073,0.0
single_gaussian_d1,5,16,derivative,3.1699735308801626,6,0.9992191903439153,0.0
single_gaussian_d1,5,16,exact,4.5706854755053445,6,0.8883099498007339,11.0
