problem,is_linear,n_levels,frequency,reuse_mode,block_width,sigma_hi,sigma_lo,rms_error,nfe,nfe_overhead,max_cond,mean_amplification
single_gaussian_d1,True,2,2,denoised,0.8,2.0,1.2,8.095702477158641e-05,2,0,8.131182235954578,3.065591117977289
single_gaussian_d1,True,2,2,denoised,0.4,2.0,1.6,2.315217395185079e-06,2,0,8.024922359499621,3.0124611797498106
single_gaussian_d1,True,2,2,denoised,0.2,2.0,1.8,1.042627712560507e-07,2,0,8.005551702879947,3.0027758514399734
single_gaussian_d1,True,2,2,denoised,0.1,2.0,1.9,5.5993776970677504e-09,2,0,8.001315573132102,3.000657786566051
single_gaussian_d1,True,2,2,denoised,0.05,2.0,1.95,3.252860601994113e-10,2,0,8.000320499980484,3.000160249990242
single_gaussian_d1,True,2,2,denoised,0.025,2.0,1.975,1.9613302746639003e-11,2,0,8.00007911314169,3.0000395565708446
single_gaussian_d1,True,2,2,derivative,0.8,2.0,1.2,8.095702477158641e-05,2,0,8.131182235954578,3.065591117977289
single_gaussian_d1,True,2,2,derivative,0.4,2.0,1.6,2.315217395185079e-06,2,0,8.024922359499621,3.0124611797498106
single_gaussian_d1,True,2,2,derivative,0.2,2.0,1.8,1.042627712560507e-07,2,0,8.005551702879947,3.0027758514399734
single_gaussian_d1,True,2,2,derivative,0.1,2.0,1.9,5.5993776970677504e-09,2,0,8.001315573132102,3.000657786566051
single_gaussian_d1,True,2,2,derivative,0.05,2.0,1.95,3.252860601994113e-10,2,0,8.000320499980484,3.000160249990242
single_gaussian_d1,True,2,2,derivative,0.025,2.0,1.975,1.9613302746639003e-11,2,0,8.00007911314169,3.0000395565708446
single_gaussian_d1,True,2,2,exact,0.8,2.0,1.2,8.095702477158641e-05,2,0,8.131182235954578,3.065591117977289
single_gaussian_d1,True,2,2,exact,0.4,2.0,1.6,2.315217395185079e-06,2,0,8.024922359499621,3.0124611797498106
single_gaussian_d1,True,2,2,exact,0.2,2.0,1.8,1.042627712560507e-07,2,0,8.005551702879947,3.0027758514399734
single_gaussian_d1,True,2,2,exact,0.1,2.0,1.9,5.5993776970677504e-09,2,0,8.001315573132102,3.000657786566051
single_gaussian_d1,True,2,2,exact,0.05,2.0,1.95,3.252860601994113e-10,2,0,8.000320499980484,3.000160249990242
single_gaussian_d1,True,2,2,exact,0.025,2.0,1.975,1.9613302746639003e-11,2,0,8.00007911314169,3.0000395565708446
single_gaussian_d1,True,3,4,denoised,0.8,2.0,1.2,0.00010083765434767348,4,0,61.9830535347521,5.176611869654264
single_gaussian_d1,True,3,4,denoised,0.4,2.0,1.6,5.925391457638573e-06,4,0,60.374388535761156,5.033291273029149
single_gaussian_d1,True,3,4,denoised,0.2,2.0,1.8,5.434773996371454e-07,4,0,60.08330299301174,5.007405320485764
single_gaussian_d1,True,3,4,denoised,0.1,2.0,1.9,5.89285386976959e-08,4,0,60.019735138408635,5.001754268779148
single_gaussian_d1,True,3,4,denoised,0.05,2.0,1.95,6.879399098593948e-09,4,0,60.0048075911924,5.0004273434723245
single_gaussian_d1,True,3,4,denoised,0.025,2.0,1.975,8.315712770880541e-10,4,0,60.00118670269969,5.000105484808291
single_gaussian_d1,True,3,4,derivative,0.8,2.0,1.2,0.0007459175968499681,4,0,61.9830535347521,5.176611869654264
single_gaussian_d1,True,3,4,derivative,0.4,2.0,1.6,6.78135674778725e-05,4,0,60.374388535761156,5.033291273029149
single_gaussian_d1,True,3,4,derivative,0.2,2.0,1.8,7.424208245016788e-06,4,0,60.08330299301174,5.007405320485764
single_gaussian_d1,True,3,4,derivative,0.1,2.0,1.9,8.730304330083892e-07,4,0,60.019735138408635,5.001754268779148
single_gaussian_d1,True,3,4,derivative,0.05,2.0,1.95,1.0596860082009045e-07,4,0,60.0048075911924,5.0004273434723245
single_gaussian_d1,True,3,4,derivative,0.025,2.0,1.975,1.3056451903593582e-08,4,0,60.00118670269969,5.000105484808291
single_gaussian_d1,True,3,4,exact,0.8,2.0,1.2,2.0955083479956263e-05,5,1,61.9830535347521,5.176611869654264
single_gaussian_d1,True,3,4,exact,0.4,2.0,1.6,5.819886362857857e-07,5,1,60.374388535761156,5.033291273029149
single_gaussian_d1,True,3,4,exact,0.2,2.0,1.8,2.609521488875444e-08,5,1,60.08330299301174,5.007405320485764
single_gaussian_d1,True,3,4,exact,0.1,2.0,1.9,1.4002071256740124e-09,5,1,60.019735138408635,5.001754268779148
single_gaussian_d1,True,3,4,exact,0.05,2.0,1.95,8.132680211690622e-11,5,1,60.0048075911924,5.0004273434723245
single_gaussian_d1,True,3,4,exact,0.025,2.0,1.975,4.903187735079156e-12,5,1,60.00118670269969,5.000105484808291
single_gaussian_d1,True,4,8,denoised,0.8,2.0,1.2,4.514262735020731e-05,8,0,583.9101891862194,6.632057353424167
single_gaussian_d1,True,4,8,denoised,0.4,2.0,1.6,2.815880914592933e-06,8,0,577.5226234631003,6.467279155072164
single_gaussian_d1,True,4,8,denoised,0.2,2.0,1.8,2.650004480142989e-07,8,0,576.340002995132,6.437195856863058
single_gaussian_d1,True,4,8,denoised,0.1,2.0,1.9,2.909769727559373e-08,8,0,576.0806125159879,6.430615235204094
single_gaussian_d1,True,4,8,denoised,0.05,2.0,1.95,3.4182550640401516e-09,8,0,576.0196412793505,6.429069346392388
single_gaussian_d1,True,4,8,denoised,0.025,2.0,1.975,4.1448820825479043e-10,8,0,576.004848457206,6.428694336378891
single_gaussian_d1,True,4,8,derivative,0.8,2.0,1.2,0.0004080462763275964,8,0,583.9101891862194,6.632057353424167
single_gaussian_d1,True,4,8,derivative,0.4,2.0,1.6,3.558426578158024e-05,8,0,577.5226234631003,6.467279155072164
single_gaussian_d1,True,4,8,derivative,0.2,2.0,1.8,3.804701562723382e-06,8,0,576.340002995132,6.437195856863058
single_gaussian_d1,True,4,8,derivative,0.1,2.0,1.9,4.4196899864579025e-07,8,0,576.0806125159879,6.430615235204094
single_gaussian_d1,True,4,8,derivative,0.05,2.0,1.95,5.3315417639133775e-08,8,0,576.0196412793505,6.429069346392388
single_gaussian_d1,True,4,8,derivative,0.025,2.0,1.975,6.548625935975621e-09,8,0,576.004848457206,6.428694336378891
single_gaussian_d1,True,4,8,exact,0.8,2.0,1.2,1.6018902408294458e-07,12,4,583.9101891862194,6.632057353424167
single_gaussian_d1,True,4,8,exact,0.4,2.0,1.6,6.394365409503902e-10,12,4,577.5226234631003,6.467279155072164
single_gaussian_d1,True,4,8,exact,0.2,2.0,1.8,5.634099225038307e-12,12,4,576.340002995132,6.437195856863058
single_gaussian_d1,True,4,8,exact,0.1,2.0,1.9,6.70675406443814e-14,12,4,576.0806125159879,6.430615235204094
single_gaussian_d1,True,4,8,exact,0.05,2.0,1.95,1.0895334497866606e-15,12,4,576.0196412793505,6.429069346392388
single_gaussian_d1,True,4,8,exact,0.025,2.0,1.975,1.0992378500241156e-15,12,4,576.004848457206,6.428694336378891
single_gaussian_d1,True,5,16,denoised,0.8,2.0,1.2,2.255585556583835e-05,16,0,7503.41349441063,7.445251936680249
single_gaussian_d1,True,5,16,denoised,0.4,2.0,1.6,1.4073588122677147e-06,16,0,7719.069202568546,7.316700144788263
single_gaussian_d1,True,5,16,denoised,0.2,2.0,1.8,1.324851460184525e-07,16,0,7759.70719707801,7.292645559748294
