problem,method,rho,num_steps,frequency,n_levels,rms_error
bimodal_sep4_d1,euler,1.0,32,2,2,0.8937428422459692
bimodal_sep4_d1,euler,1.25,32,2,2,0.35353503062445935
bimodal_sep4_d1,euler,1.5,32,2,2,0.18015072895530834
bimodal_sep4_d1,euler,1.75,32,2,2,0.14951984578818628
bimodal_sep4_d1,euler,2.0,32,2,2,0.12626183129162763
bimodal_sep4_d1,euler,2.25,32,2,2,0.1124811335622341
bimodal_sep4_d1,euler,2.5,32,2,2,0.10412922285479695
bimodal_sep4_d1,euler,2.75,32,2,2,0.09834717840778907
bimodal_sep4_d1,euler,3.0,32,2,2,0.09430185107567937
bimodal_sep4_d1,euler,3.25,32,2,2,0.09149368285322948
bimodal_sep4_d1,euler,3.5,32,2,2,0.08938159520492028
bimodal_sep4_d1,euler,3.75,32,2,2,0.08787852853024247
bimodal_sep4_d1,euler,4.0,32,2,2,0.08672943242161296
bimodal_sep4_d1,euler,4.25,32,2,2,0.08591382320719067
bimodal_sep4_d1,euler,4.5,32,2,2,0.08526901418927393
bimodal_sep4_d1,euler,4.75,32,2,2,0.0848355249682419
bimodal_sep4_d1,euler,5.0,32,2,2,0.08450301861814936
bimodal_sep4_d1,euler,5.25,32,2,2,0.08426005253883978
bimodal_sep4_d1,euler,5.5,32,2,2,0.08412221770412653
bimodal_sep4_d1,euler,5.75,32,2,2,0.08403252227797404
bimodal_sep4_d1,euler,6.0,32,2,2,0.08397314688039023
bimodal_sep4_d1,euler,6.25,32,2,2,0.08396299612136747
bimodal_sep4_d1,euler,6.5,32,2,2,0.08399522881667507
bimodal_sep4_d1,euler,6.75,32,2,2,0.08404483613441474
bimodal_sep4_d1,euler,7.0,32,2,2,0.08410143812022772
bimodal_sep4_d1,euler,7.25,32,2,2,0.08417129648469217
bimodal_sep4_d1,euler,7.5,32,2,2,0.08426028690673268
bimodal_sep4_d1,euler,7.75,32,2,2,0.08436503150399272
bimodal_sep4_d1,euler,8.0,32,2,2,0.08447684757746163
bimodal_sep4_d1,euler,8.25,32,2,2,0.08458898676022011
bimodal_sep4_d1,euler,8.5,32,2,2,0.08469981208987952
bimodal_sep4_d1,euler,8.75,32,2,2,0.08481137128409759
bimodal_sep4_d1,euler,9.0,32,2,2,0.08492632989892179
bimodal_sep4_d1,euler,9.25,32,2,2,0.0850458279853696
bimodal_sep4_d1,euler,9.5,32,2,2,0.08516902382804487
bimodal_sep4_d1,euler,9.75,32,2,2,0.08529381363848149
bimodal_sep4_d1,euler,10.0,32,2,2,0.08541788802802325
bimodal_sep4_d1,euler,10.25,32,2,2,0.08553953053384994
bimodal_sep4_d1,euler,10.5,32,2,2,0.08565794427390906
bimodal_sep4_d1,euler,10.75,32,2,2,0.08577317178622551
bimodal_sep4_d1,euler,11.0,32,2,2,0.0858857916697523
bimodal_sep4_d1,euler,11.25,32,2,2,0.08599657121179016
bimodal_sep4_d1,euler,11.5,32,2,2,0.08610619094525207
bimodal_sep4_d1,euler,11.75,32,2,2,0.08621508664358099
bimodal_sep4_d1,euler,12.0,32,2,2,0.08632340324444938
bimodal_sep4_d1,euler,12.25,32,2,2,0.08643102939891151
bimodal_sep4_d1,euler,12.5,32,2,2,0.08653767545062352
bimodal_sep4_d1,euler,12.75,32,2,2,0.08664296331058895
bimodal_sep4_d1,euler,13.0,32,2,2,0.0867465068501824
bimodal_sep4_d1,euler,13.25,32,2,2,0.0868479716132955
bimodal_sep4_d1,euler,13.5,32,2,2,0.08694711067704561
bimodal_sep4_d1,euler,13.75,32,2,2,0.08704377875584988
bimodal_sep4_d1,euler,14.0,32,2,2,0.08713792939132148
bimodal_sep4_d1,euler,14.25,32,2,2,0.08722960091075063
bimodal_sep4_d1,euler,14.5,32,2,2,0.08731889644542096
bimodal_sep4_d1,euler,14.75,32,2,2,0.08740596226191867
bimodal_sep4_d1,euler,15.0,32,2,2,0.08749096740791533
bimodal_sep4_d1,heun,1.0,32,2,2,0.7319460112384992
bimodal_sep4_d1,heun,1.25,32,2,2,0.2439986691441787
bimodal_sep4_d1,heun,1.5,32,2,2,0.07191841150342504
bimodal_sep4_d1,heun,1.75,32,2,2,0.043341619381792935
bimodal_sep4_d1,heun,2.0,32,2,2,0.029981408981339636
bimodal_sep4_d1,heun,2.25,32,2,2,0.022961026724844395
bimodal_sep4_d1,heun,2.5,32,2,2,0.018224479660504368
bimodal_sep4_d1,heun,2.75,32,2,2,0.01608653089848048
bimodal_sep4_d1,heun,3.0,32,2,2,0.01459679887883672
bimodal_sep4_d1,heun,3.25,32,2,2,0.013371447740750438
bimodal_sep4_d1,heun,3.5,32,2,2,0.012813620574278619
bimodal_sep4_d1,heun,3.75,32,2,2,0.012187917823419136
bimodal_sep4_d1,heun,4.0,32,2,2,0.011920489733508843
bimodal_sep4_d1,heun,4.25,32,2,2,0.011618733044233312
bimodal_sep4_d1,heun,4.5,32,2,2,0.011452961986740775
bimodal_sep4_d1,heun,4.75,32,2,2,0.011361731328412044
bimodal_sep4_d1,heun,5.0,32,2,2,0.01124536493871508
bimodal_sep4_d1,heun,5.25,32,2,2,0.011209114325312377
bimodal_sep4_d1,heun,5.5,32,2,2,0.011208443160744756
bimodal_sep4_d1,heun,5.75,32,2,2,0.011187597003001011
bimodal_sep4_d1,heun,6.0,32,2,2,0.011183297685328249
bimodal_sep4_d1,heun,6.25,32,2,2,0.011215445470294627
bimodal_sep4_d1,heun,6.5,32,2,2,0.011258828880916479
bimodal_sep4_d1,heun,6.75,32,2,2,0.011291176210703064
bimodal_sep4_d1,heun,7.0,32,2,2,0.011319653452965588
bimodal_sep4_d1,heun,7.25,32,2,2,0.011359444900288767
bimodal_sep4_d1,heun,7.5,32,2,2,0.011413245819978771
bimodal_sep4_d1,heun,7.75,32,2,2,0.011473400758626856
bimodal_sep4_d1,heun,8.0,32,2,2,0.011530497047440318
bimodal_sep4_d1,heun,8.25,32,2,2,0.011580925188849109
bimodal_sep4_d1,heun,8.5,32,2,2,0.011627716972601577
bimodal_sep4_d1,heun,8.75,32,2,2,0.011675738697789172
bimodal_sep4_d1,heun,9.0,32,2,2,0.011727858481235939
bimodal_sep4_d1,heun,9.25,32,2,2,0.011784258818074014
bimodal_sep4_d1,heun,9.5,32,2,2,0.011843206930036713
bimodal_sep4_d1,heun,9.75,32,2,2,0.011902136578716725
bimodal_sep4_d1,heun,10.0,32,2,2,0.011958784687012378
bimodal_sep4_d1,heun,10.25,32,2,2,0.012012005349468256
bimodal_sep4_d1,heun,10.5,32,2,2,0.012061910359012183
bimodal_sep4_d1,heun,10.75,32,2,2,0.012109438726443955
bimodal_sep4_d1,heun,11.0,32,2,2,0.012155764497921608
bimodal_sep4_d1,heun,11.25,32,2,2,0.012201870322010727
bimodal_sep4_d1,heun,11.5,32,2,2,0.012248369235592301
bimodal_sep4_d1,heun,11.75,32,2,2,0.0122954980112535
bimodal_sep4_d1,heun,12.0,32,2,2,0.012343184042090696
bimodal_sep4_d1,heun,12.25,32,2,2,0.012391131747884069
bimodal_sep4_d1,heun,12.5,32,2,2,0.012438912965609353
bimodal_sep4_d1,heun,12.75,32,2,2,0.012486057220405324
bimodal_sep4_d1,heun,13.0,32,2,2,0.012532133683847682
bimodal_sep4_d1,heun,13.25,32,2,2,0.0125768129369987
bimodal_sep4_d1,heun,13.5,32,2,2,0.01261989981450359
bimodal_sep4_d1,heun,13.75,32,2,2,0.01266133637151216
bimodal_sep4_d1,heun,14.0,32,2,2,0.012701181447549718
bimodal_sep4_d1,heun,14.25,32,2,2,0.012739577156684124
bimodal_sep4_d1,heun,14.5,32,2,2,0.012776712466148199
bimodal_sep4_d1,heun,14.75,32,2,2,0.01281279122218576
bimodal_sep4_d1,heun,15.0,32,2,2,0.012848008366246994
bimodal_sep4_d1,rx,1.0,32,2,2,0.7229113001176908
bimodal_sep4_d1,rx,1.25,32,2,2,0.37461208982616395
bimodal_sep4_d1,rx,1.5,32,2,2,0.18096598712549217
bimodal_sep4_d1,rx,1.75,32,2,2,0.12618383914972767
bimodal_sep4_d1,rx,2.0,32,2,2,0.04764658327099287
bimodal_sep4_d1,rx,2.25,32,2,2,0.04778320180110501
bimodal_sep4_d1,rx,2.5,32,2,2,0.02997055503138865
bimodal_sep4_d1,rx,2.75,32,2,2,0.033557060355094676
bimodal_sep4_d1,rx,3.0,32,2,2,0.026287988606916116
bimodal_sep4_d1,rx,3.25,32,2,2,0.020627052675151795
bimodal_sep4_d1,rx,3.5,32,2,2,0.025800876678899794
bimodal_sep4_d1,rx,3.75,32,2,2,0.024628525586633296
bimodal_sep4_d1,rx,4.0,32,2,2,0.01893588220569876
bimodal_sep4_d1,rx,4.25,32,2,2,0.018006538141033847
bimodal_sep4_d1,rx,4.5,32,2,2,0.02131248108139655
bimodal_sep4_d1,rx,4.75,32,2,2,0.02262315253854387
bimodal_sep4_d1,rx,5.0,32,2,2,0.021327589334801764
bimodal_sep4_d1,rx,5.25,32,2,2,0.018568010223142757
bimodal_sep4_d1,rx,5.5,32,2,2,0.016719975891730125
bimodal_sep4_d1,rx,5.75,32,2,2,0.017248781294114564
bimodal_sep4_d1,rx,6.0,32,2,2,0.018877987354277124
bimodal_sep4_d1,rx,6.25,32,2,2,0.020217463515688046
bimodal_sep4_d1,rx,6.5,32,2,2,0.020853178920277268
bimodal_sep4_d1,rx,6.75,32,2,2,0.020736482357388907
bimodal_sep4_d1,rx,7.0,32,2,2,0.019981491038402036
bimodal_sep4_d1,rx,7.25,32,2,2,0.01884903429373322
bimodal_sep4_d1,rx,7.5,32,2,2,0.017704168251343907
bimodal_sep4_d1,rx,7.75,32,2,2,0.01691094245549658
bimodal_sep4_d1,rx,8.0,32,2,2,0.016672938731653323
bimodal_sep4_d1,rx,8.25,32,2,2,0.016948037553936555
bimodal_sep4_d1,rx,8.5,32,2,2,0.01753553176083118
bimodal_sep4_d1,rx,8.75,32,2,2,0.0182284514273005
bimodal_sep4_d1,rx,9.0,32,2,2,0.01889045585731903
bimodal_sep4_d1,rx,9.25,32,2,2,0.01945244202524611
bimodal_sep4_d1,rx,9.5,32,2,2,0.01988455941239557
bimodal_sep4_d1,rx,9.75,32,2,2,0.0201758098731079
bimodal_sep4_d1,rx,10.0,32,2,2,0.02032527534316842
bimodal_sep4_d1,rx,10.25,32,2,2,0.020339444419995002
bimodal_sep4_d1,rx,10.5,32,2,2,0.02023115708535774
bimodal_sep4_d1,rx,10.75,32,2,2,0.020018529798267595
bimodal_sep4_d1,rx,11.0,32,2,2,0.019723698834548914
bimodal_sep4_d1,rx,11.25,32,2,2,0.019371498882359568
bimodal_sep4_d1,rx,11.5,32,2,2,0.018988086064525005
bimodal_sep4_d1,rx,11.75,32,2,2,0.018599454396031775
bimodal_sep4_d1,rx,12.0,32,2,2,0.018229853289483153
bimodal_sep4_d1,rx,12.25,32,2,2,0.017900223592806883
