iteration,x,f,a,b,method,num_steps,frequency,n_levels,n_images,objective
0,6.347524157501471,5.971396302638914,1.0,15.0,rx,10,2,2,10000,fid
1,9.652475842498529,6.125288946947668,1.0,15.0,rx,10,2,2,10000,fid
2,4.3049516849970555,14.87951204192066,1.0,15.0,rx,10,2,2,10000,fid
3,7.609903369994113,6.181493318049155,1.0,15.0,rx,10,2,2,10000,fid
4,5.567330897489695,6.206819801059233,1.0,15.0,rx,10,2,2,10000,fid
5,6.829710109982336,6.086444165297309,1.0,15.0,rx,10,2,2,10000,fid
6,6.049516849970558,5.961723282434027,1.0,15.0,rx,10,2,2,10000,fid
7,5.86533820502061,5.991948250951397,1.0,15.0,rx,10,2,2,10000,fid
8,6.163345512551524,5.953979120237287,1.0,15.0,rx,10,2,2,10000,fid
9,6.233695494920505,5.9582109926549425,1.0,15.0,rx,10,2,2,10000,fid
